Data;Descrizione;Importo
02/09/2026;Borsa di studio EDISU Torino;+520,00
03/09/2026;Affitto stanza singola universitaria;-350,00
04/09/2026;Coop spesa settimanale;-38,20
05/09/2026;Abbonamento GTT studenti;-23,00
06/09/2026;Ricarica TIM;-10,00
07/09/2026;Pizzeria con amici;-14,50
08/09/2026;Fotocopisteria dispense;-12,80
09/09/2026;Bar universitario colazione;-3,20
10/09/2026;Netflix account condiviso;-4,50
11/09/2026;Spotify Duo;-6,00
12/09/2026;Lidl spesa;-22,40
14/09/2026;Aperitivo Vanchiglia;-9,00
15/09/2026;Stipendio lavoretto libreria;+280,00
16/09/2026;Amazon libro esame diritto;-32,00
17/09/2026;Farmacia paracetamolo;-6,50
18/09/2026;Cinema Massimo studenti;-5,50
19/09/2026;McDonald pranzo veloce;-8,90
20/09/2026;Kebab dopo lezione;-6,50
21/09/2026;Ricarica ATM sala giochi;-5,00
22/09/2026;Bonifico da genitori;+150,00
23/09/2026;Esselunga spesa;-27,10
24/09/2026;Bar universitario pranzo;-6,80
25/09/2026;Palestra mensile studenti;-25,00
26/09/2026;Bolletta luce coinquilini;-18,00
27/09/2026;Deliveroo pizza sabato sera;-13,20
28/09/2026;Libreria feltrinelli manuale;-19,90
29/09/2026;Trenitalia biglietto casa;-24,50
30/09/2026;Aperitivo San Salvario;-8,00
