Data;Descrizione;Importo
01/09/2026;Stipendio Roberto - Fiat Chrysler;+2680,00
01/09/2026;Stipendio moglie part-time;+1180,00
02/09/2026;Mutuo villetta rata mensile;-980,00
03/09/2026;Condominio quota mensile;-128,00
04/09/2026;Enel bolletta luce bimestrale;-186,40
05/09/2026;Italgas bolletta gas;-142,80
06/09/2026;Esselunga spesa grande settimanale;-198,60
07/09/2026;Retta scuola materna Sofia;-320,00
08/09/2026;Retta primaria Matteo mensa;-140,00
09/09/2026;Corso nuoto Matteo trimestre;-180,00
10/09/2026;Danza classica Sofia;-65,00
11/09/2026;Baby sitter serate;-120,00
12/09/2026;Pediatra visita privata;-90,00
13/09/2026;Farmacia bambini;-38,50
14/09/2026;Ipercoop spesa;-172,40
15/09/2026;Rifornimento auto famiglia;-78,00
16/09/2026;Bollo auto SUV;-280,00
17/09/2026;Assicurazione auto RCA;-92,00
18/09/2026;Ristorante pizzeria famiglia;-68,50
19/09/2026;Decathlon abbigliamento bambini;-124,00
20/09/2026;Zara Kids Sofia autunno;-89,00
21/09/2026;H&M Kids Matteo;-72,00
22/09/2026;Sky bundle famiglia;-42,90
23/09/2026;Netflix + Disney;-19,99
24/09/2026;Esselunga spesa;-156,30
25/09/2026;Farmacia sciroppi tosse;-24,50
26/09/2026;Parco giochi biglietti;-38,00
27/09/2026;Bricocenter giardino;-96,50
28/09/2026;Amazon libri scuola Matteo;-58,00
29/09/2026;Dentista controllo bambini;-140,00
30/09/2026;Bonifico piano accumulo figli;-150,00
