Data;Descrizione;Importo
01/09/2026;Stipendio agenzia comunicazione;+1620,00
02/09/2026;Affitto monolocale zona Isola;-780,00
03/09/2026;Netflix Premium;-17,99
04/09/2026;Spotify Premium;-9,99
05/09/2026;Disney Plus;-8,99
06/09/2026;HBO Max;-9,99
07/09/2026;Amazon Prime mensile;-4,99
08/09/2026;Apple iCloud 200GB;-2,99
09/09/2026;YouTube Premium;-11,99
10/09/2026;Glovo cena thai;-22,40
11/09/2026;Deliveroo pranzo sushi;-18,90
12/09/2026;Uber Eats colazione;-12,50
13/09/2026;Just Eat pizza sabato;-19,80
14/09/2026;Starbucks caffè;-5,80
15/09/2026;Cocktail bar Brera;-42,00
16/09/2026;Zalando ordine autunno;-128,00
17/09/2026;Shein maxi ordine;-62,50
18/09/2026;Sephora skincare;-89,00
19/09/2026;Esselunga spesa;-38,20
20/09/2026;Glovo cena venerdì;-24,60
21/09/2026;Aperitivo Navigli;-32,00
22/09/2026;Uber tragitto notturno;-16,50
23/09/2026;Palestra Virgin Active;-79,00
24/09/2026;Deliveroo pranzo poke;-14,80
25/09/2026;ClassPass yoga;-59,00
26/09/2026;Ryanair volo weekend Lisbona;-89,00
27/09/2026;Airbnb Lisbona 2 notti;-186,00
28/09/2026;Amazon accessori tech;-48,90
29/09/2026;Farmacia;-22,00
30/09/2026;Glovo cena dopo aeroporto;-19,50
