Data;Descrizione;Importo
01/08/2026;Bonifico stipendio TechnoSoft Srl;+2210,00
01/08/2026;Affitto appartamento Via Torino;-780,00
02/08/2026;Enel Energia bolletta luce;-58,40
02/08/2026;Esselunga spesa settimanale;-72,30
03/08/2026;TIM abbonamento fibra;-27,90
03/08/2026;Bar Trombetta colazione;-2,80
04/08/2026;ATM abbonamento mensile;-39,00
05/08/2026;Netflix abbonamento;-12,99
05/08/2026;Spotify Premium;-9,99
06/08/2026;Farmacia San Carlo;-14,20
07/08/2026;Q8 rifornimento;-48,50
08/08/2026;Ristorante Osteria del Corso;-42,00
09/08/2026;Lidl spesa;-38,60
10/08/2026;Amazon acquisto elettronica;-89,90
11/08/2026;Iren bolletta gas;-46,70
12/08/2026;Bar Trombetta pranzo;-8,50
13/08/2026;Palestra Fitness Club mensile;-45,00
14/08/2026;Trenitalia Frecciarossa Roma;-79,00
15/08/2026;Hotel Trastevere Roma 3 notti;-420,00
15/08/2026;Ristorante Roma Trastevere;-56,00
16/08/2026;Musei Vaticani biglietto;-25,00
16/08/2026;Bar Piazza Navona;-12,00
17/08/2026;Ristorante Da Enzo Roma;-48,50
17/08/2026;Trenitalia ritorno Milano;-79,00
18/08/2026;Coop spesa;-51,20
19/08/2026;Disney+ abbonamento;-8,99
20/08/2026;Amazon libri;-32,40
21/08/2026;Q8 rifornimento;-52,00
22/08/2026;Ristorante Sushi Zen;-36,00
23/08/2026;Esselunga spesa;-68,90
24/08/2026;Bar Trombetta colazione;-3,00
25/08/2026;Officina Meccanica riparazione auto;-380,00
26/08/2026;Farmacia San Carlo;-22,50
27/08/2026;Lidl spesa;-41,30
28/08/2026;Cinema Anteo;-9,50
29/08/2026;Ristorante Pizzeria Spontini;-18,00
30/08/2026;Bonifico verso conto risparmio;-150,00
31/08/2026;Amazon casa;-27,80
01/09/2026;Bonifico stipendio TechnoSoft Srl;+2210,00
01/09/2026;Affitto appartamento Via Torino;-780,00
02/09/2026;Enel Energia bolletta luce;-61,20
02/09/2026;TIM abbonamento fibra;-27,90
03/09/2026;Esselunga spesa settimanale;-84,50
04/09/2026;Netflix abbonamento;-12,99
04/09/2026;Spotify Premium;-9,99
05/09/2026;Bar Trombetta colazione;-2,80
06/09/2026;Palestra Fitness Club mensile;-45,00
07/09/2026;Q8 rifornimento;-50,30
08/09/2026;Ristorante Osteria del Corso;-39,50
09/09/2026;Lidl spesa;-42,70
10/09/2026;Amazon accessori;-45,60
11/09/2026;Iren bolletta gas;-38,90
12/09/2026;ATM abbonamento mensile;-39,00
13/09/2026;Farmacia San Carlo;-11,80
14/09/2026;Ristorante Sushi Zen;-34,00
15/09/2026;Coop spesa;-58,40
15/09/2026;Bar Trombetta pranzo;-9,20
16/09/2026;Disney+ abbonamento;-8,99
17/09/2026;Autostrade per l'Italia telepass;-18,60
18/09/2026;Q8 rifornimento;-49,80
19/09/2026;Cinema Anteo;-9,50
20/09/2026;Esselunga spesa;-71,20
21/09/2026;Amazon abbigliamento;-64,90
22/09/2026;Ristorante Pizzeria Spontini;-22,50
23/09/2026;Bar Trombetta colazione;-3,00
24/09/2026;Lidl spesa;-36,80
25/09/2026;Farmacia San Carlo;-9,40
26/09/2026;Ristorante Da Mario;-45,00
27/09/2026;Trenitalia Regionale;-14,50
28/09/2026;Esselunga spesa;-63,70
29/09/2026;Bonifico verso conto risparmio;-150,00
30/09/2026;Bar Trombetta;-4,20
30/09/2026;Amazon regalo compleanno;-38,00
