Data;Descrizione;Importo
01/09/2026;Fattura cliente Studio Rossi progetto branding;+1850,00
02/09/2026;Coworking Talent Garden mensile;-280,00
03/09/2026;Adobe Creative Cloud abbonamento;-59,99
04/09/2026;Figma Professional;-15,00
05/09/2026;Notion Team;-10,00
06/09/2026;Esselunga spesa;-64,80
07/09/2026;Ristorante pranzo cliente;-42,00
08/09/2026;Trenitalia Milano andata/ritorno;-58,00
09/09/2026;Contributi INPS gestione separata;-380,00
10/09/2026;Commercialista fattura trimestrale;-220,00
11/09/2026;Amazon monitor secondario;-189,00
12/09/2026;Uber tragitto meeting;-14,50
13/09/2026;Deliveroo cena tardiva;-22,40
14/09/2026;Fattura cliente Retail Group consulenza UX;+2200,00
15/09/2026;Domain hosting Aruba annuale;-89,00
16/09/2026;Caffetteria coworking;-4,20
17/09/2026;Corso online Udemy;-19,99
18/09/2026;IVA acconto quadrimestrale;-620,00
19/09/2026;Palestra flexible mensile;-49,00
20/09/2026;Coworking sala riunioni extra;-45,00
22/09/2026;Amazon cavo USB-C;-24,90
23/09/2026;Cena networking evento;-38,00
24/09/2026;Book fotografico portfolio;-150,00
25/09/2026;Airbnb workation Ostuni;-320,00
26/09/2026;Spotify Premium;-9,99
27/09/2026;Assicurazione professionale RC;-180,00
28/09/2026;Fattura piccolo cliente sito vetrina;+450,00
29/09/2026;Farmacia integratori;-32,00
30/09/2026;Cocktail bar sabato;-28,00
