Data;Descrizione;Importo
01/09/2026;Pensione INPS mensile;+1420,00
02/09/2026;Affitto appartamento;-520,00
03/09/2026;Enel bolletta luce;-58,40
04/09/2026;Italgas bolletta gas;-64,20
05/09/2026;Farmacia comunale ricette;-42,80
06/09/2026;Coop spesa settimanale;-48,60
07/09/2026;Mercato rionale frutta e verdura;-18,50
08/09/2026;TIM telefono fisso;-24,90
09/09/2026;RAI canone rateale;-9,00
10/09/2026;Barbiere;-15,00
11/09/2026;Ristorante trattoria domenica;-32,00
12/09/2026;Farmacia integratori;-28,50
13/09/2026;Ottico riparazione occhiali;-45,00
14/09/2026;Poste Italiane bollettino;-6,50
15/09/2026;Assicurazione sanitaria integrativa;-38,00
16/09/2026;Chiesa parrocchiale offerta;-20,00
17/09/2026;Bar caffè con amici;-4,20
18/09/2026;Esselunga spesa;-52,80
19/09/2026;Pescheria pesce fresco;-24,50
20/09/2026;Nipotini regalo compleanno;-40,00
21/09/2026;Farmacia analisi;-18,00
22/09/2026;IMU seconda rata;-180,00
23/09/2026;Coop spesa;-38,20
24/09/2026;Tabaccheria bolli auto;-95,00
25/09/2026;Meccanico tagliando auto;-140,00
26/09/2026;Cinema il fotogramma;-6,00
27/09/2026;Panetteria settimanale;-14,80
28/09/2026;Coop spesa;-42,60
29/09/2026;Farmacia terapia cronica;-35,20
30/09/2026;Trattoria pranzo domenica;-28,00
