Data;Descrizione;Importo
01/09/2026;Bonifico stipendio ACME S.p.A.;+2400,00
02/09/2026;Mutuo casa - rata mensile;-850,00
03/09/2026;Enel Energia bolletta luce;-72,50
04/09/2026;TIM abbonamento fibra;-29,90
05/09/2026;Esselunga spesa settimanale;-92,40
06/09/2026;Netflix abbonamento;-12,99
07/09/2026;Spotify Premium;-9,99
08/09/2026;Q8 rifornimento;-55,00
09/09/2026;ATM abbonamento mensile;-35,00
10/09/2026;Ristorante Da Mario;-48,50
11/09/2026;Amazon Prime acquisto;-24,90
12/09/2026;Carrefour spesa;-63,20
14/09/2026;Farmacia Comunale;-18,30
15/09/2026;Autostrade per l'Italia;-22,40
16/09/2026;Bar Centrale;-4,80
17/09/2026;Esselunga spesa;-78,10
18/09/2026;Q8 rifornimento;-52,00
19/09/2026;Ristorante Sushi Zen;-38,00
20/09/2026;Eni gas bolletta;-64,30
22/09/2026;Steam gioco;-19,99
23/09/2026;Coop spesa;-45,80
24/09/2026;Cinema The Space;-11,00
25/09/2026;Bar Centrale colazione;-3,50
26/09/2026;Esselunga spesa;-55,60
27/09/2026;Uber corsa;-14,20
