Data;Descrizione;Importo
01/09/2026;Stipendio Anna - Intesa Sanpaolo;+1980,00
01/09/2026;Stipendio Luca - Reply S.p.A.;+2350,00
02/09/2026;Mutuo prima casa rata mensile;-780,00
03/09/2026;Condominio quota;-95,00
04/09/2026;Enel bolletta luce bimestrale;-134,20
05/09/2026;Italgas bolletta gas;-88,50
06/09/2026;Esselunga spesa grande;-142,60
07/09/2026;Fastweb fibra + mobile;-49,90
08/09/2026;Assicurazione auto Direct Line;-58,00
09/09/2026;Palestra coppia Virgin Active;-89,00
10/09/2026;Netflix + Disney bundle;-19,99
11/09/2026;Ristorante anniversario;-78,00
12/09/2026;Ikea complementi arredo;-186,00
13/09/2026;Rifornimento Q8 auto;-62,00
14/09/2026;Farmacia;-24,30
15/09/2026;Bonifico fondo emergenza;-400,00
16/09/2026;Bonifico PAC ETF World;-300,00
17/09/2026;Aperitivo con amici sabato;-38,00
18/09/2026;Bricocenter tinteggiatura;-72,50
19/09/2026;Coop spesa;-58,90
20/09/2026;Ticket ristorante lavoro Luca;+180,00
21/09/2026;Cena da Roberto ristorante;-64,00
22/09/2026;Amazon accessori casa;-42,80
23/09/2026;Trenitalia weekend Firenze;-98,00
24/09/2026;Hotel Firenze 2 notti;-210,00
25/09/2026;Museo Uffizi biglietti;-32,00
26/09/2026;Autostrada rientro;-38,50
27/09/2026;Lavanderia camicie;-18,00
28/09/2026;Esselunga spesa;-96,40
29/09/2026;Bar colazione weekend;-9,80
30/09/2026;Farmacia lenti contatto;-45,00
